condition,lambda_language_alignment,seed,metric,published,recomputed,abs_diff
align010,0.1,1,mean_unrelated_distance,5.884991299743435,5.884991299743435,0.0
align010,0.1,2,mean_same_id_cross_language_distance,0.7769040075828367,0.7769040075828367,0.0
align010,0.1,2,cross_language_top1_id_accuracy,0.9287072243346007,0.9287072243346007,0.0
align010,0.1,2,cross_language_mrr,0.9562528726026827,0.9562528726026827,0.0
align010,0.1,2,cross_language_top1_id_accuracy_de_to_en,0.9296577946768061,0.9296577946768061,0.0
align010,0.1,2,cross_language_top1_id_accuracy_en_to_de,0.9277566539923955,0.9277566539923955,0.0
align010,0.1,2,cross_language_mrr_de_to_en,0.9564478613908273,0.9564478613908273,0.0
align010,0.1,2,cross_language_mrr_en_to_de,0.9560578838145378,0.9560578838145378,0.0
align010,0.1,2,mean_cross_language_parent_child_distance,6.200290957397579,6.200290957397579,0.0
align010,0.1,2,mean_parent_child_distance,6.196962876356635,6.196962876356635,0.0
align010,0.1,2,mean_sibling_distance,1.8300810375641952,1.8300810375641952,0.0
align010,0.1,2,mean_unrelated_distance,5.769393228022771,5.769393228022771,0.0
align010,0.1,3,mean_same_id_cross_language_distance,0.7935157428166258,0.7935157428166258,0.0
align010,0.1,3,cross_language_top1_id_accuracy,0.9268060836501901,0.9268060836501901,0.0
align010,0.1,3,cross_language_mrr,0.9546128776166801,0.9546128776166801,0.0
align010,0.1,3,cross_language_top1_id_accuracy_de_to_en,0.9239543726235742,0.9239543726235742,0.0
align010,0.1,3,cross_language_top1_id_accuracy_en_to_de,0.9296577946768061,0.9296577946768061,0.0
align010,0.1,3,cross_language_mrr_de_to_en,0.9527211381774121,0.9527211381774121,0.0
align010,0.1,3,cross_language_mrr_en_to_de,0.9565046170559476,0.9565046170559476,0.0
align010,0.1,3,mean_cross_language_parent_child_distance,6.310318036575538,6.310318036575538,0.0
align010,0.1,3,mean_parent_child_distance,6.307528731680559,6.307528731680559,0.0
align010,0.1,3,mean_sibling_distance,1.832050291361747,1.832050291361747,0.0
align010,0.1,3,mean_unrelated_distance,5.859816421234109,5.859816421234109,0.0
align010,0.1,4,mean_same_id_cross_language_distance,0.7767768150386701,0.7767768150386701,0.0
align010,0.1,4,cross_language_top1_id_accuracy,0.9239543726235742,0.9239543726235742,0.0
align010,0.1,4,cross_language_mrr,0.9548211043603388,0.9548211043603388,0.0
align010,0.1,4,cross_language_top1_id_accuracy_de_to_en,0.9258555133079848,0.9258555133079848,0.0
align010,0.1,4,cross_language_top1_id_accuracy_en_to_de,0.9220532319391636,0.9220532319391636,0.0
align010,0.1,4,cross_language_mrr_de_to_en,0.955742607054916,0.955742607054916,0.0
align010,0.1,4,cross_language_mrr_en_to_de,0.9538996016657614,0.9538996016657614,0.0
align010,0.1,4,mean_cross_language_parent_child_distance,6.234925313262352,6.234925313262352,0.0
align010,0.1,4,mean_parent_child_distance,6.234158420838373,6.234158420838373,0.0
align010,0.1,4,mean_sibling_distance,1.884555384516716,1.884555384516716,0.0
align010,0.1,4,mean_unrelated_distance,5.801449012280417,5.801449012280417,0.0
align010,0.1,5,mean_same_id_cross_language_distance,0.7793970339481822,0.7793970339481822,0.0
