condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align003,0.03,4,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8625328062038458,0.48034466304479895,0.7000932800108897,0.490130600716406,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,4,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.869446717570943,0.4795085827150726,0.7082407356534555,0.5016049396389478,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,5,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9698928919542906,0.5013057497089212,0.7050249630264679,0.4970601984904724,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,5,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9843605905204671,0.5028562513906013,0.7048757745608374,0.49684985756274047,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,5,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9554251933881142,0.49975524802724103,0.7051741199294004,0.4972705394182043,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,6,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9288092158263825,0.4878486113803383,0.7151504143665158,0.5114401151685992,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,6,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9159751165899034,0.47322314262333476,0.6953485882209091,0.4835096591408114,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,6,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9416433150628617,0.5024740801373418,0.7344185259076647,0.5393705711963871,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,7,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8654350051018959,0.5203369767670679,0.758767545778581,0.575728188526851,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,7,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8592215889052066,0.5163124027332652,0.7610015564360674,0.5791233688981171,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
